T;Ax;Ay;Az;CLASS
7150.00;-0.56;-0.30;0.86;Positive
7200.00;-0.53;-0.28;0.84;Positive
7250.00;-0.75;-0.23;0.97;Positive
7300.00;-0.69;-0.23;1.00;Positive
7350.00;-0.48;-0.25;1.00;Positive
7400.00;-0.49;-0.22;1.00;Positive
7450.00;-0.48;-0.14;0.11;Positive
7500.00;0.99;-0.01;-1.16;Positive
7550.00;2.00;-0.35;-1.23;Positive
7600.00;0.20;0.17;-0.05;Positive
7650.00;1.10;-0.18;-0.29;Positive
7700.00;1.35;-0.26;-0.47;Positive
7750.00;1.00;-0.09;-0.24;Positive
7800.00;0.71;-0.15;0.06;Positive
7850.00;0.07;-0.30;0.40;Positive
7900.00;-0.30;-0.27;0.71;Positive
7950.00;-1.01;-0.31;0.92;Positive
8000.00;-1.07;-0.19;1.09;Positive
8050.00;-0.62;-0.27;0.86;Positive
8100.00;-0.40;-0.34;0.76;Positive
8150.00;-0.57;-0.27;0.81;Positive
8200.00;-0.60;-0.24;0.81;Positive
8250.00;-0.53;-0.26;0.79;Positive
8300.00;-0.55;-0.28;0.80;Positive
8350.00;-0.57;-0.29;0.83;Positive
8400.00;-0.54;-0.29;0.82;Positive
8450.00;-0.57;-0.28;0.82;Positive
8500.00;-0.56;-0.26;0.80;Positive
8550.00;-0.69;-0.27;0.90;Positive
8600.00;-0.66;-0.30;0.94;Positive
8650.00;-0.69;-0.28;1.02;Positive
8700.00;-0.62;-0.27;0.91;Positive
8750.00;-0.45;-0.25;0.25;Positive
8800.00;0.21;-0.03;-1.19;Positive
8850.00;2.00;-0.33;-1.85;Positive
8900.00;0.60;0.35;0.46;Positive
8950.00;0.56;-0.36;-0.13;Positive
9000.00;1.60;-0.18;-0.50;Positive
9050.00;1.26;-0.05;-0.34;Positive
9100.00;0.66;-0.07;0.03;Positive
9150.00;0.18;-0.26;0.40;Positive
9200.00;-0.19;-0.31;0.65;Positive
9250.00;-0.47;-0.26;0.81;Positive
9300.00;-1.12;-0.24;0.88;Positive
9350.00;-1.22;-0.20;0.96;Positive
9400.00;-0.59;-0.27;0.70;Positive
9450.00;-0.56;-0.26;0.69;Positive
9500.00;-0.67;-0.24;0.74;Positive
9550.00;-0.70;-0.24;0.74;Positive
9600.00;-0.65;-0.24;0.73;Positive
9650.00;-0.60;-0.25;0.75;Positive
9700.00;-0.66;-0.25;0.79;Positive
9750.00;-0.65;-0.25;0.76;Positive
9800.00;-0.63;-0.25;0.74;Positive
9850.00;-0.68;-0.24;0.73;Positive
9900.00;-0.64;-0.25;0.75;Positive
9950.00;-0.60;-0.26;0.75;Positive
10000.00;-0.65;-0.25;0.77;Positive
10050.00;-0.70;-0.22;0.79;Positive
10100.00;-0.97;-0.23;1.02;Positive
10150.00;-0.74;-0.25;0.96;Positive
10200.00;-0.30;-0.27;0.79;Positive
10250.00;-0.67;-0.15;0.57;Positive
10300.00;0.37;0.03;-1.12;Positive
10350.00;2.00;-0.49;-1.67;Positive
10400.00;0.75;0.32;0.21;Positive
10450.00;0.59;-0.36;0.04;Positive
10500.00;1.52;-0.16;-0.29;Positive
10550.00;1.01;-0.20;-0.11;Positive
10600.00;0.55;-0.07;0.13;Positive
10650.00;-0.20;-0.30;0.39;Positive
10700.00;-1.08;-0.20;0.86;Positive
10750.00;-1.17;-0.23;1.06;Positive
10800.00;-0.67;-0.27;0.94;Positive
10850.00;-0.29;-0.33;0.77;Positive
10900.00;-0.54;-0.25;0.87;Positive
10950.00;-0.62;-0.23;0.83;Positive
11000.00;-0.51;-0.24;0.81;Positive
11050.00;-0.51;-0.24;0.80;Positive
11100.00;-0.57;-0.24;0.86;Positive
11150.00;-0.52;-0.27;0.84;Positive
11200.00;-0.50;-0.24;0.84;Positive
11250.00;-0.54;-0.24;0.85;Positive
11300.00;-0.52;-0.24;0.84;Positive
11350.00;-0.54;-0.25;0.85;Positive
11400.00;-0.67;-0.23;0.96;Positive
11450.00;-0.75;-0.25;0.99;Positive
11500.00;-0.58;-0.23;0.97;Positive
11550.00;0.01;-0.27;0.71;Positive
11600.00;0.06;-0.24;0.45;Positive
11650.00;0.47;-0.17;-0.37;Positive
11700.00;1.79;-0.30;-0.91;Positive
11750.00;1.03;-0.02;-0.30;Positive
11800.00;0.69;-0.12;-0.09;Positive
11850.00;1.43;-0.24;-0.36;Positive
11900.00;1.21;-0.15;-0.29;Positive
11950.00;0.60;-0.08;-0.03;Positive
12000.00;-0.18;-0.30;0.34;Positive
12050.00;-0.79;-0.15;0.94;Positive
12100.00;-1.21;-0.22;0.99;Positive
12150.00;-0.84;-0.19;0.96;Positive
12200.00;-0.50;-0.24;0.80;Positive
12250.00;-0.55;-0.23;0.81;Positive
12300.00;-0.59;-0.21;0.80;Positive
12350.00;-0.58;-0.20;0.77;Positive
12400.00;-0.61;-0.21;0.81;Positive
12450.00;-0.57;-0.23;0.85;Positive
12500.00;-0.55;-0.23;0.85;Positive
