T;Ax;Ay;Az;CLASS
74750.00;-0.58;-0.09;0.81;Positive
74800.00;-0.54;-0.06;0.79;Positive
74850.00;-0.57;-0.07;0.81;Positive
74900.00;-0.62;-0.09;0.86;Positive
74950.00;-0.57;-0.09;0.85;Positive
75000.00;-0.59;-0.08;0.85;Positive
75050.00;-0.61;-0.08;0.86;Positive
75100.00;-0.72;-0.07;0.95;Positive
75150.00;-0.71;-0.02;1.11;Positive
75200.00;-0.67;-0.07;0.98;Positive
75250.00;-0.40;0.04;0.51;Positive
75300.00;1.14;-0.14;-0.94;Positive
75350.00;1.97;0.10;-0.43;Positive
75400.00;0.62;0.04;-0.07;Positive
75450.00;1.08;-0.02;-0.10;Positive
75500.00;1.06;-0.09;-0.08;Positive
75550.00;0.93;-0.04;0.08;Positive
75600.00;1.17;-0.09;-0.04;Positive
75650.00;1.11;-0.03;0.04;Positive
75700.00;0.98;-0.04;0.13;Positive
75750.00;0.63;-0.02;0.30;Positive
75800.00;-0.01;-0.13;0.31;Positive
75850.00;-1.15;-0.06;0.93;Positive
75900.00;-1.41;-0.03;1.15;Positive
75950.00;-0.65;-0.11;0.80;Positive
76000.00;-0.37;-0.11;0.82;Positive
76050.00;-0.56;-0.05;0.84;Positive
76100.00;-0.56;-0.06;0.83;Positive
76150.00;-0.53;-0.05;0.82;Positive
76200.00;-0.61;-0.07;0.84;Positive
76250.00;-0.60;-0.08;0.87;Positive
76300.00;-0.55;-0.07;0.84;Positive
76350.00;-0.57;-0.07;0.83;Positive
76400.00;-0.57;-0.07;0.84;Positive
76450.00;-0.59;-0.08;0.84;Positive
76500.00;-0.65;-0.06;0.95;Positive
76550.00;-0.69;-0.11;0.94;Positive
76600.00;-0.63;-0.03;1.07;Positive
76650.00;-0.42;-0.06;1.01;Positive
76700.00;-0.27;-0.05;0.66;Positive
76750.00;0.50;0.03;-0.89;Positive
76800.00;1.73;-0.17;-0.81;Positive
76850.00;1.17;0.08;-0.29;Positive
76900.00;0.54;-0.07;-0.01;Positive
76950.00;1.28;-0.17;-0.24;Positive
77000.00;1.05;-0.05;-0.05;Positive
77050.00;1.14;-0.11;-0.02;Positive
77100.00;0.99;-0.08;0.08;Positive
77150.00;0.71;-0.01;0.26;Positive
77200.00;0.40;-0.09;0.36;Positive
77250.00;-0.50;-0.12;0.67;Positive
77300.00;-1.12;-0.02;1.13;Positive
77350.00;-1.04;-0.05;1.05;Positive
77400.00;-0.53;-0.13;0.88;Positive
77450.00;-0.48;-0.10;1.00;Positive
77500.00;-0.51;-0.09;0.84;Positive
77550.00;-0.44;-0.07;0.83;Positive
77600.00;-0.49;-0.06;0.87;Positive
77650.00;-0.53;-0.09;0.87;Positive
77700.00;-0.54;-0.10;0.90;Positive
77750.00;-0.53;-0.08;0.90;Positive
77800.00;-0.52;-0.05;0.86;Positive
77850.00;-0.57;-0.06;0.92;Positive
77900.00;-0.58;-0.07;0.95;Positive
77950.00;-0.60;-0.07;1.04;Positive
78000.00;-0.29;-0.08;0.99;Positive
78050.00;-0.30;-0.05;0.91;Positive
78100.00;0.02;-0.05;0.05;Positive
78150.00;1.36;-0.19;-0.87;Positive
78200.00;1.82;-0.08;-0.66;Positive
78250.00;0.46;0.08;-0.03;Positive
78300.00;1.28;-0.08;-0.27;Positive
78350.00;0.98;-0.05;-0.07;Positive
78400.00;1.09;-0.11;-0.04;Positive
78450.00;1.07;-0.06;0.01;Positive
78500.00;0.91;-0.02;0.20;Positive
78550.00;0.67;-0.06;0.45;Positive
78600.00;0.38;-0.07;0.58;Positive
78650.00;-0.26;-0.11;0.58;Positive
78700.00;-1.00;-0.10;1.01;Positive
78750.00;-1.01;-0.04;1.08;Positive
78800.00;-0.54;-0.07;0.89;Positive
78850.00;-0.44;-0.06;0.86;Positive
78900.00;-0.54;-0.03;0.88;Positive
78950.00;-0.48;-0.06;0.85;Positive
79000.00;-0.49;-0.02;0.86;Positive
79050.00;-0.51;-0.07;0.92;Positive
79100.00;-0.50;-0.07;0.90;Positive
79150.00;-0.52;-0.07;0.89;Positive
79200.00;-0.54;-0.05;0.90;Positive
79250.00;-0.70;0.00;1.02;Positive
79300.00;-0.46;-0.04;0.98;Positive
79350.00;-0.32;-0.03;1.08;Positive
79400.00;-0.39;-0.08;0.96;Positive
79450.00;0.04;-0.02;0.56;Positive
79500.00;0.90;-0.13;-0.19;Positive
79550.00;1.41;-0.20;-0.44;Positive
79600.00;1.24;-0.11;-0.30;Positive
79650.00;0.86;-0.07;-0.11;Positive
79700.00;1.13;-0.15;-0.18;Positive
79750.00;1.18;-0.10;-0.12;Positive
79800.00;1.06;-0.08;-0.01;Positive
79850.00;0.85;-0.08;0.17;Positive
79900.00;0.55;-0.04;0.44;Positive
79950.00;0.06;-0.10;0.64;Positive
80000.00;-0.49;-0.13;0.77;Positive
80050.00;-0.96;-0.04;1.03;Positive
80100.00;-0.96;-0.06;1.01;Positive
80150.00;-0.52;-0.09;0.86;Positive
80200.00;-0.48;-0.06;0.84;Positive
80250.00;-0.57;-0.04;0.84;Positive
80300.00;-0.56;-0.06;0.81;Positive
80350.00;-0.56;-0.05;0.85;Positive
80400.00;-0.57;-0.06;0.86;Positive
80450.00;-0.58;-0.08;0.86;Positive
80500.00;-0.57;-0.06;0.86;Positive
80550.00;-0.58;-0.04;0.83;Positive
80600.00;-0.58;-0.07;0.83;Positive
80650.00;-0.67;-0.05;0.91;Positive
80700.00;-0.64;-0.07;0.99;Positive
80750.00;-0.76;-0.09;1.07;Positive
80800.00;-0.56;-0.04;0.95;Positive
80850.00;-0.31;-0.01;-0.94;Positive
80900.00;1.76;-0.27;-1.12;Positive
80950.00;1.99;0.30;-0.84;Positive
81000.00;0.14;-0.02;0.10;Positive
81050.00;1.36;-0.01;-0.25;Positive
81100.00;1.18;0.04;-0.18;Positive
81150.00;1.07;0.00;0.02;Positive
81200.00;0.94;-0.01;0.19;Positive
81250.00;0.68;0.00;0.44;Positive
81300.00;0.31;-0.04;0.58;Positive
81350.00;-0.31;-0.16;0.71;Positive
81400.00;-0.79;-0.04;0.94;Positive
81450.00;-1.31;-0.15;1.03;Positive
81500.00;-0.45;-0.12;0.87;Positive
81550.00;-0.35;-0.07;0.85;Positive
81600.00;-0.52;-0.05;0.87;Positive
81650.00;-0.51;-0.04;0.88;Positive
81700.00;-0.48;-0.06;0.86;Positive
81750.00;-0.51;-0.05;0.90;Positive
81800.00;-0.52;-0.07;0.89;Positive
81850.00;-0.51;-0.05;0.88;Positive
81900.00;-0.53;-0.04;0.87;Positive
81950.00;-0.60;-0.02;0.97;Positive
82000.00;-0.52;-0.03;1.00;Positive
82050.00;-0.32;-0.03;0.99;Positive
82100.00;-0.30;-0.05;0.99;Positive
82150.00;-0.14;-0.00;1.00;Positive
82200.00;-0.29;-0.00;1.08;Positive
82250.00;0.22;-0.05;0.78;Positive
82300.00;0.33;-0.10;0.42;Positive
82350.00;0.82;-0.01;-0.05;Positive
82400.00;1.62;-0.11;-0.64;Positive
82450.00;1.08;0.06;-0.17;Positive
82500.00;0.85;-0.12;-0.15;Positive
82550.00;1.14;-0.13;-0.15;Positive
82600.00;1.09;-0.07;-0.03;Positive
82650.00;1.07;-0.07;0.00;Positive
82700.00;0.94;-0.06;0.15;Positive
82750.00;0.54;-0.00;0.41;Positive
82800.00;0.16;-0.10;0.55;Positive
82850.00;-0.58;-0.07;0.69;Positive
82900.00;-1.07;0.06;0.88;Positive
82950.00;-1.17;-0.01;1.02;Positive
83000.00;-0.63;-0.12;0.80;Positive
83050.00;-0.54;-0.06;0.82;Positive
83100.00;-0.65;-0.05;0.78;Positive
83150.00;-0.62;-0.03;0.77;Positive
83200.00;-0.58;-0.06;0.76;Positive
83250.00;-0.66;-0.07;0.82;Positive
83300.00;-0.64;-0.07;0.82;Positive
83350.00;-0.64;-0.04;0.81;Positive
83400.00;-0.69;-0.03;0.85;Positive
83450.00;-0.64;-0.02;0.87;Positive
83500.00;-0.57;-0.05;0.89;Positive
83550.00;-0.63;-0.01;1.05;Positive
83600.00;-0.48;0.01;1.09;Positive
83650.00;-0.05;-0.08;0.79;Positive
83700.00;-0.02;-0.09;0.27;Positive
83750.00;1.03;0.01;-0.48;Positive
83800.00;2.00;-0.36;-0.99;Positive
83850.00;0.38;0.23;0.12;Positive
83900.00;1.09;-0.11;-0.21;Positive
83950.00;1.23;-0.16;-0.20;Positive
84000.00;1.09;-0.09;-0.05;Positive
84050.00;0.89;-0.06;0.16;Positive
84100.00;0.66;-0.03;0.38;Positive
84150.00;0.33;-0.13;0.53;Positive
84200.00;-0.38;-0.13;0.60;Positive
84250.00;-1.01;-0.07;0.80;Positive
84300.00;-1.41;-0.07;1.20;Positive
84350.00;-0.61;-0.11;0.86;Positive
84400.00;-0.29;-0.14;0.76;Positive
84450.00;-0.58;-0.05;0.84;Positive
84500.00;-0.60;-0.07;0.80;Positive
84550.00;-0.52;-0.06;0.81;Positive
84600.00;-0.57;-0.07;0.84;Positive
84650.00;-0.58;-0.07;0.89;Positive
84700.00;-0.55;-0.08;0.86;Positive
84750.00;-0.58;-0.08;0.83;Positive
84800.00;-0.68;-0.04;0.93;Positive
84850.00;-0.56;-0.05;0.94;Positive
84900.00;-0.59;-0.06;1.07;Positive
84950.00;-0.43;-0.08;1.15;Positive
85000.00;-0.06;-0.07;0.83;Positive
85050.00;-0.02;-0.04;0.29;Positive
85100.00;1.08;0.03;-0.50;Positive
85150.00;1.95;-0.22;-0.65;Positive
85200.00;0.63;0.13;0.07;Positive
85250.00;0.95;-0.13;-0.01;Positive
85300.00;1.23;-0.16;-0.17;Positive
85350.00;1.10;-0.11;-0.02;Positive
85400.00;0.97;-0.06;0.16;Positive
85450.00;0.74;-0.07;0.33;Positive
85500.00;0.47;-0.06;0.47;Positive
85550.00;-0.18;-0.12;0.53;Positive
85600.00;-0.96;-0.05;0.82;Positive
85650.00;-1.50;-0.01;1.19;Positive
85700.00;-0.69;-0.10;0.86;Positive
85750.00;-0.27;-0.10;0.78;Positive
85800.00;-0.57;-0.04;0.83;Positive
85850.00;-0.64;-0.03;0.83;Positive
85900.00;-0.53;-0.04;0.82;Positive
85950.00;-0.56;-0.07;0.84;Positive
86000.00;-0.57;-0.06;0.87;Positive
86050.00;-0.57;-0.05;0.85;Positive
86100.00;-0.57;-0.05;0.83;Positive
86150.00;-0.59;-0.01;0.87;Positive
86200.00;-0.64;-0.03;0.93;Positive
86250.00;-0.57;-0.06;0.91;Positive
86300.00;-0.73;0.04;1.12;Positive
86350.00;-0.87;-0.02;1.10;Positive
86400.00;-0.39;-0.14;-0.09;Positive
86450.00;1.24;-0.06;-0.82;Positive
86500.00;2.00;-0.28;-0.96;Positive
86550.00;0.56;0.18;0.04;Positive
86600.00;1.08;-0.20;-0.21;Positive
86650.00;1.21;-0.20;-0.17;Positive
86700.00;1.08;-0.17;-0.04;Positive
86750.00;0.96;-0.12;0.10;Positive
86800.00;0.72;-0.10;0.36;Positive
86850.00;0.42;-0.09;0.58;Positive
86900.00;0.01;-0.13;0.67;Positive
86950.00;-0.55;-0.07;0.83;Positive
87000.00;-0.90;-0.07;1.04;Positive
87050.00;-0.87;-0.06;1.07;Positive
87100.00;-0.51;-0.14;0.88;Positive
87150.00;-0.48;-0.09;0.86;Positive
87200.00;-0.52;-0.07;0.85;Positive
87250.00;-0.52;-0.08;0.82;Positive
87300.00;-0.54;-0.09;0.84;Positive
87350.00;-0.57;-0.12;0.87;Positive
87400.00;-0.56;-0.11;0.89;Positive
87450.00;-0.57;-0.09;0.89;Positive
87500.00;-0.65;-0.07;0.95;Positive
87550.00;-0.70;-0.09;0.98;Positive
87600.00;-0.57;-0.05;1.08;Positive
87650.00;-0.43;-0.11;0.98;Positive
87700.00;-0.14;-0.13;0.30;Positive
87750.00;0.81;-0.05;-0.51;Positive
87800.00;2.00;-0.40;-0.90;Positive
87850.00;0.65;0.16;0.04;Positive
87900.00;0.92;-0.20;-0.15;Positive
87950.00;1.16;-0.18;-0.15;Positive
88000.00;0.91;-0.13;-0.00;Positive
88050.00;1.11;-0.13;0.02;Positive
88100.00;1.04;-0.14;0.05;Positive
88150.00;0.82;-0.05;0.29;Positive
88200.00;0.58;-0.08;0.52;Positive
88250.00;0.01;0.39;0.45;Positive
88300.00;-0.67;-0.13;0.46;Positive
88350.00;-1.26;0.06;1.09;Positive
88400.00;-0.90;0.03;0.95;Positive
88450.00;-0.43;-0.09;0.77;Positive
88500.00;-0.53;-0.03;0.83;Positive
88550.00;-0.61;-0.03;0.83;Positive
88600.00;-0.56;-0.03;0.84;Positive
88650.00;-0.55;-0.04;0.83;Positive
88700.00;-0.58;-0.06;0.85;Positive
88750.00;-0.56;-0.04;0.87;Positive
88800.00;-0.58;-0.04;0.84;Positive
88850.00;-0.58;-0.02;0.86;Positive
88900.00;-0.61;-0.03;0.88;Positive
88950.00;-0.59;-0.01;0.90;Positive
89000.00;-0.64;-0.04;0.96;Positive
89050.00;-0.63;0.04;1.10;Positive
89100.00;-0.50;0.01;1.18;Positive
89150.00;-0.41;0.01;0.74;Positive
89200.00;0.52;-0.07;-0.90;Positive
89250.00;2.00;-0.37;-1.14;Positive
89300.00;0.57;0.19;0.21;Positive
89350.00;0.68;-0.15;0.04;Positive
89400.00;1.36;-0.23;-0.20;Positive
89450.00;1.15;-0.11;-0.05;Positive
89500.00;0.91;-0.09;0.15;Positive
89550.00;0.64;-0.05;0.39;Positive
89600.00;0.34;-0.12;0.51;Positive
89650.00;-0.34;-0.09;0.68;Positive
89700.00;-1.13;-0.02;0.98;Positive
89750.00;-1.24;0.02;1.17;Positive
89800.00;-0.53;-0.14;0.86;Positive
89850.00;-0.29;-0.11;0.80;Positive
89900.00;-0.57;-0.05;0.87;Positive
89950.00;-0.55;-0.04;0.84;Positive
90000.00;-0.47;-0.06;0.83;Positive
90050.00;-0.52;-0.07;0.88;Positive
90100.00;-0.58;-0.07;0.90;Positive
90150.00;-0.55;-0.06;0.88;Positive
90200.00;-0.55;-0.06;0.87;Positive
90250.00;-0.58;-0.06;0.92;Positive
90300.00;-0.52;-0.04;0.96;Positive
90350.00;-0.51;-0.04;1.03;Positive
90400.00;-0.45;-0.03;1.05;Positive
90450.00;-0.34;-0.04;1.01;Positive
90500.00;-0.48;-0.08;0.40;Positive
90550.00;0.80;-0.07;-0.42;Positive
90600.00;1.66;-0.23;-0.63;Positive
90650.00;1.21;-0.09;-0.27;Positive
90700.00;0.63;-0.07;0.12;Positive
90750.00;1.32;-0.18;-0.19;Positive
90800.00;1.08;-0.08;0.04;Positive
90850.00;0.90;-0.13;0.18;Positive
90900.00;0.71;-0.05;0.38;Positive
90950.00;0.31;-0.07;0.54;Positive
91000.00;-0.26;-0.11;0.65;Positive
91050.00;-0.93;-0.04;0.92;Positive
91100.00;-1.08;0.02;1.12;Positive
91150.00;-0.65;-0.08;0.89;Positive
91200.00;-0.44;-0.05;0.82;Positive
91250.00;-0.57;-0.04;0.85;Positive
91300.00;-0.55;-0.04;0.83;Positive
91350.00;-0.53;-0.02;0.84;Positive
91400.00;-0.57;-0.06;0.85;Positive
91450.00;-0.54;-0.05;0.86;Positive
91500.00;-0.57;-0.04;0.88;Positive
91550.00;-0.59;-0.03;0.88;Positive
91600.00;-0.71;-0.02;0.98;Positive
91650.00;-0.56;-0.04;0.95;Positive
91700.00;-0.54;-0.02;1.01;Positive
91750.00;-0.65;-0.02;1.06;Positive
91800.00;0.01;-0.09;-0.11;Positive
91850.00;1.32;-0.10;-0.62;Positive
91900.00;1.92;-0.26;-0.74;Positive
91950.00;0.46;0.08;0.08;Positive
92000.00;1.30;-0.13;-0.27;Positive
92050.00;1.01;-0.10;-0.04;Positive
92100.00;1.00;-0.17;-0.02;Positive
92150.00;1.13;-0.12;-0.04;Positive
92200.00;1.03;-0.09;0.09;Positive
92250.00;0.94;-0.07;0.25;Positive
92300.00;0.71;-0.11;0.49;Positive
92350.00;0.47;-0.05;0.47;Positive
92400.00;-0.15;-0.11;0.28;Positive
92450.00;-1.36;0.02;0.92;Positive
92500.00;-1.48;0.03;1.10;Positive
92550.00;-0.49;-0.05;0.74;Positive
92600.00;-0.38;-0.10;0.71;Positive
92650.00;-0.67;-0.01;0.85;Positive
92700.00;-0.58;-0.05;0.83;Positive
92750.00;-0.55;-0.05;0.83;Positive
92800.00;-0.63;-0.04;0.88;Positive
92850.00;-0.61;-0.05;0.86;Positive
92900.00;-0.58;-0.03;0.85;Positive
92950.00;-0.66;-0.01;0.91;Positive
93000.00;-0.55;-0.03;0.86;Positive
93050.00;-0.69;-0.01;1.05;Positive
93100.00;-0.49;-0.04;1.06;Positive
93150.00;-0.27;-0.11;0.82;Positive
93200.00;-0.01;-0.03;0.12;Positive
93250.00;1.17;-0.05;-0.65;Positive
93300.00;2.00;-0.29;-0.64;Positive
93350.00;0.44;-0.00;0.04;Positive
93400.00;1.17;-0.14;-0.14;Positive
93450.00;1.09;-0.13;-0.13;Positive
93500.00;1.00;-0.10;-0.01;Positive
93550.00;1.16;-0.14;-0.07;Positive
93600.00;1.01;-0.09;0.07;Positive
93650.00;0.85;-0.13;0.29;Positive
93700.00;0.56;-0.06;0.12;Positive
93750.00;-1.03;-0.18;0.34;Positive
93800.00;-1.53;0.09;1.21;Positive
93850.00;-0.92;-0.00;0.89;Positive
93900.00;-0.29;-0.12;0.74;Positive
93950.00;-0.49;-0.02;0.85;Positive
94000.00;-0.60;-0.03;0.87;Positive
94050.00;-0.48;-0.04;0.83;Positive
94100.00;-0.58;-0.04;0.90;Positive
94150.00;-0.64;-0.02;0.99;Positive
94200.00;-0.48;0.01;1.02;Positive
94250.00;-0.37;-0.01;1.01;Positive
94300.00;-0.32;-0.07;0.99;Positive
94350.00;-0.33;0.06;1.04;Positive
94400.00;0.09;-0.03;0.62;Positive
94450.00;0.38;-0.01;-0.44;Positive
94500.00;2.00;-0.47;-1.19;Positive
94550.00;0.57;0.25;0.04;Positive
94600.00;1.01;-0.10;-0.26;Positive
94650.00;1.10;-0.10;-0.19;Positive
94700.00;0.88;-0.05;0.02;Positive
94750.00;1.09;-0.06;-0.04;Positive
94800.00;1.03;-0.06;-0.09;Positive
94850.00;1.12;-0.04;-0.08;Positive
94900.00;1.05;-0.02;0.10;Positive
94950.00;0.97;-0.02;0.25;Positive
95000.00;0.70;-0.00;0.41;Positive
95050.00;0.40;-0.00;0.59;Positive
95100.00;-0.48;-0.08;0.70;Positive
95150.00;-1.07;0.21;0.94;Positive
95200.00;-1.20;-0.06;1.04;Positive
95250.00;-0.50;-0.05;0.84;Positive
95300.00;-0.41;-0.01;0.84;Positive
95350.00;-0.56;-0.01;0.87;Positive
95400.00;-0.50;-0.02;0.85;Positive
95450.00;-0.54;-0.00;0.88;Positive
95500.00;-0.55;-0.03;0.89;Positive
95550.00;-0.50;-0.01;0.86;Positive
95600.00;-0.54;-0.01;0.88;Positive
95650.00;-0.63;-0.01;1.01;Positive
95700.00;-0.63;-0.00;1.05;Positive
95750.00;-0.99;-0.01;1.13;Positive
95800.00;-0.46;-0.04;-0.11;Positive
95850.00;1.31;-0.09;-1.20;Positive
95900.00;2.00;-0.09;-0.56;Positive
95950.00;0.38;0.09;0.08;Positive
96000.00;1.27;-0.16;-0.32;Positive
96050.00;1.09;-0.12;-0.13;Positive
96100.00;0.94;-0.09;-0.01;Positive
96150.00;1.11;-0.14;-0.10;Positive
96200.00;1.00;-0.09;0.10;Positive
96250.00;1.02;-0.09;0.08;Positive
96300.00;0.91;-0.04;0.23;Positive
96350.00;0.98;-0.06;0.32;Positive
96400.00;0.80;-0.04;0.41;Positive
96450.00;0.56;0.03;0.56;Positive
96500.00;0.59;0.03;0.61;Positive
96550.00;-0.52;-0.06;0.81;Positive
96600.00;-0.80;-0.09;0.84;Positive
96650.00;-1.14;-0.09;0.93;Positive
96700.00;-0.82;-0.10;0.86;Positive
96750.00;-0.48;-0.12;0.82;Positive
96800.00;-0.58;-0.09;0.81;Positive
96850.00;-0.62;-0.05;0.76;Positive
96900.00;-0.51;-0.06;0.77;Positive
96950.00;-0.61;-0.05;0.82;Positive
97000.00;-0.70;-0.05;0.86;Positive
97050.00;-0.96;0.03;1.12;Positive
97100.00;-0.72;-0.08;0.96;Positive
97150.00;-0.66;-0.01;0.42;Positive
97200.00;-0.05;-0.08;-0.66;Positive
97250.00;1.88;-0.12;-1.10;Positive
97300.00;1.73;0.27;-0.42;Positive
97350.00;0.24;-0.10;0.01;Positive
97400.00;1.32;0.09;-0.28;Positive
97450.00;0.99;0.07;-0.12;Positive
97500.00;1.00;0.03;-0.02;Positive
97550.00;1.12;-0.01;-0.01;Positive
97600.00;0.96;0.05;0.24;Positive
97650.00;0.80;-0.03;0.41;Positive
97700.00;0.45;-0.07;0.66;Positive
97750.00;0.17;-0.01;0.72;Positive
97800.00;-0.18;-0.06;0.77;Positive
97850.00;-1.14;0.10;1.05;Positive
97900.00;-0.86;0.04;0.93;Positive
97950.00;-0.44;0.06;0.91;Positive
98000.00;-0.22;0.01;0.86;Positive
98050.00;-0.53;0.01;0.89;Positive
98100.00;-0.53;-0.00;0.91;Positive
98150.00;-0.46;0.01;0.89;Positive
98200.00;-0.49;0.00;0.91;Positive
98250.00;-0.65;-0.03;1.00;Positive
98300.00;-0.40;0.03;1.00;Positive
98350.00;-0.53;0.02;1.07;Positive
98400.00;-0.19;0.06;0.99;Positive
98450.00;-0.32;0.10;0.96;Positive
98500.00;0.09;-0.12;-0.45;Positive
98550.00;1.86;-0.18;-1.00;Positive
98600.00;1.34;0.32;-0.29;Positive
98650.00;0.65;-0.00;-0.10;Positive
98700.00;1.29;0.00;-0.15;Positive
98750.00;0.92;0.06;0.01;Positive
98800.00;1.12;0.01;-0.06;Positive
98850.00;1.06;0.09;0.04;Positive
98900.00;0.95;0.07;0.21;Positive
98950.00;0.94;0.05;0.32;Positive
99000.00;0.68;0.07;0.38;Positive
99050.00;-0.15;0.08;0.65;Positive
99100.00;-0.61;0.08;0.97;Positive
99150.00;-0.92;0.04;1.06;Positive
99200.00;-0.46;0.00;0.99;Positive
99250.00;-0.25;-0.00;0.94;Positive
99300.00;-0.39;0.04;0.96;Positive
99350.00;-0.38;0.01;0.93;Positive
99400.00;-0.35;0.03;0.93;Positive
99450.00;-0.36;0.00;0.94;Positive
99500.00;-0.34;0.01;0.96;Positive
99550.00;-0.40;0.02;0.99;Positive
99600.00;-0.40;0.05;1.01;Positive
99650.00;-0.33;0.03;1.03;Positive
99700.00;-0.25;0.06;1.07;Positive
99750.00;-0.19;0.00;0.95;Positive
99800.00;0.10;0.10;0.76;Positive
99850.00;0.12;-0.09;-0.39;Positive
99900.00;2.00;-0.61;-1.36;Positive
99950.00;0.72;0.34;-0.26;Positive
100000.00;0.82;-0.18;-0.20;Positive
100050.00;1.16;-0.18;-0.33;Positive
100100.00;0.90;-0.02;-0.08;Positive
100150.00;1.11;-0.09;-0.20;Positive
100200.00;0.99;-0.04;-0.05;Positive
100250.00;1.04;-0.04;0.06;Positive
100300.00;0.90;0.02;0.29;Positive
100350.00;0.75;-0.02;0.41;Positive
100400.00;0.23;-0.00;0.66;Positive
100450.00;-0.21;-0.11;0.70;Positive
100500.00;-0.80;0.09;0.90;Positive
100550.00;-1.02;-0.07;0.96;Positive
100600.00;-0.61;-0.01;0.91;Positive
100650.00;-0.55;-0.04;0.82;Positive
100700.00;-0.55;0.00;0.86;Positive
100750.00;-0.59;-0.00;0.83;Positive
100800.00;-0.65;0.02;0.90;Positive
100850.00;-0.51;-0.01;0.90;Positive
100900.00;-0.48;-0.04;0.96;Positive
100950.00;-0.26;0.02;0.97;Positive
101000.00;-0.31;0.09;1.11;Positive
101050.00;-0.13;0.02;0.94;Positive
101100.00;-0.11;0.09;1.03;Positive
101150.00;0.01;-0.03;0.64;Positive
101200.00;0.46;-0.00;-0.21;Positive
101250.00;1.78;-0.36;-0.92;Positive
101300.00;1.07;0.20;-0.24;Positive
101350.00;0.63;-0.17;-0.05;Positive
101400.00;1.22;-0.11;-0.26;Positive
101450.00;0.99;-0.04;-0.02;Positive
101500.00;1.08;-0.12;-0.06;Positive
101550.00;1.04;-0.01;0.10;Positive
101600.00;0.89;-0.03;0.28;Positive
101650.00;0.73;-0.02;0.45;Positive
101700.00;0.44;-0.03;0.61;Positive
101750.00;-0.04;-0.05;0.63;Positive
101800.00;-0.63;0.12;0.94;Positive
101850.00;-1.17;0.02;1.07;Positive
101900.00;-0.75;0.02;0.88;Positive
101950.00;-0.49;-0.02;0.80;Positive
102000.00;-0.61;0.03;0.88;Positive
102050.00;-0.55;0.01;0.82;Positive
102100.00;-0.52;0.02;0.82;Positive
102150.00;-0.57;0.01;0.84;Positive
102200.00;-0.59;-0.01;0.85;Positive
102250.00;-0.58;0.00;0.88;Positive
102300.00;-0.67;0.02;0.91;Positive
102350.00;-0.66;0.02;1.00;Positive
102400.00;-0.61;-0.05;0.97;Positive
102450.00;-0.21;0.02;0.91;Positive
102500.00;-0.24;0.04;0.79;Positive
102550.00;0.05;-0.14;-1.40;Positive
102600.00;1.75;-0.35;-1.33;Positive
102650.00;1.17;0.27;-0.35;Positive
102700.00;0.51;-0.25;-0.10;Positive
102750.00;1.39;-0.13;-0.40;Positive
102800.00;1.08;-0.05;-0.10;Positive
102850.00;1.07;-0.12;-0.00;Positive
102900.00;0.98;-0.06;0.10;Positive
102950.00;0.81;0.01;0.34;Positive
103000.00;0.65;0.02;0.54;Positive
103050.00;0.31;-0.04;0.65;Positive
103100.00;-0.28;-0.07;0.67;Positive
103150.00;-0.87;0.09;0.92;Positive
103200.00;-1.12;0.02;1.03;Positive
103250.00;-0.76;-0.05;0.87;Positive
103300.00;-0.46;-0.06;0.78;Positive
103350.00;-0.59;0.01;0.85;Positive
103400.00;-0.56;-0.01;0.80;Positive
103450.00;-0.54;-0.01;0.80;Positive
103500.00;-0.59;-0.02;0.83;Positive
103550.00;-0.64;-0.01;0.86;Positive
103600.00;-0.72;-0.00;0.94;Positive
103650.00;-0.65;0.04;1.05;Positive
103700.00;-0.54;-0.03;0.97;Positive
103750.00;-0.20;0.00;0.91;Positive
103800.00;-0.20;0.06;0.69;Positive
103850.00;0.39;-0.04;-0.26;Positive
103900.00;1.69;-0.45;-1.43;Positive
103950.00;0.91;0.12;-0.09;Positive
104000.00;0.83;-0.23;-0.26;Positive
104050.00;1.26;-0.27;-0.23;Positive
104100.00;0.87;-0.06;0.01;Positive
104150.00;1.11;-0.16;-0.10;Positive
104200.00;1.00;-0.07;0.01;Positive
104250.00;0.93;-0.07;0.21;Positive
104300.00;0.81;-0.06;0.43;Positive
104350.00;0.81;-0.12;0.54;Positive
104400.00;0.72;-0.03;0.69;Positive
104450.00;0.46;-0.06;0.75;Positive
104500.00;0.21;-0.02;0.71;Positive
104550.00;-0.44;0.01;0.67;Positive
104600.00;-0.97;0.09;0.95;Positive
104650.00;-1.11;0.10;1.03;Positive
104700.00;-0.58;-0.01;0.79;Positive
104750.00;-0.49;-0.05;0.76;Positive
104800.00;-0.64;0.01;0.87;Positive
104850.00;-0.57;-0.04;0.81;Positive
104900.00;-0.57;0.01;0.84;Positive
104950.00;-0.62;-0.02;0.81;Positive
105000.00;-0.74;0.03;0.96;Positive
105050.00;-0.54;-0.02;0.87;Positive
105100.00;-0.59;0.03;1.03;Positive
105150.00;-0.50;0.03;1.04;Positive
105200.00;-0.26;0.02;1.02;Positive
105250.00;-0.42;0.05;0.76;Positive
105300.00;1.00;-0.07;-0.43;Positive
105350.00;1.34;-0.17;-0.39;Positive
105400.00;1.15;-0.09;-0.10;Positive
105450.00;1.00;-0.13;-0.04;Positive
105500.00;1.11;-0.17;-0.03;Positive
105550.00;1.19;-0.18;-0.07;Positive
105600.00;1.00;-0.13;0.10;Positive
